variable,source,description,camels,nan_rate
CCFXG1T5,FTS,CTRL CLR FGN EX & GLD-1 TO 5 YR,UNASSIGNED,0.0034
CCFXGOV5,FTS,CTRL CLR FGN EX & GLD-OVER 5 YR,UNASSIGNED,0.0034
CCOTH1L,FTS,CTRL CLR OTHER DER - 1 YR OR LS,UNASSIGNED,0.0034
CCOTH1T5,FTS,CTRL CLR OTHER DER - 1 TO 5 YR,UNASSIGNED,0.0034
CCOTHOV5,FTS,CTRL CLR OTHER DER - OVER 5 YR,UNASSIGNED,0.0034
CCPM1L,FTS,CTRL CLR PREC METAL DER-1 YR LS,UNASSIGNED,0.0034
CCPM1T5,FTS,CTRL CLR PREC METAL DER-1 TO 5,UNASSIGNED,0.0034
CCPMOV5,FTS,CTRL CLR PREC METAL DER-OVER 5,UNASSIGNED,0.0034
CCRT1L,FTS,CTRL CLEAR INT RATE -1 YR OR LS,S,0.0034
CCRT1T5,FTS,CTRL CLEAR INT RATE -1 TO 5 YR,S,0.0034
CCRTOV5,FTS,CTRL CLEAR INT RATE -OVER 5 YR,S,0.0034
CD1T3,FTS,TIME DEP GT 250 * 1-3 YEARS,UNASSIGNED,0.0032
CD1T3S,FTS,TIME DEP 250 OR L * 1-3 YEARS,UNASSIGNED,0.0032
CD1YR,FTS,TOTAL CD OVER THE INS LMT 1YR OR LESS,UNASSIGNED,0.0032
CD3LES,FTS,TIME DEP GT 250 * 3 MONS OR LESS,UNASSIGNED,0.0032
CD3LESS,FTS,TIME DEP 250 OR L * 3 MO OR LESS,UNASSIGNED,0.0032
CD3T12,FTS,TIME DEP GT 250 * 3-12 MONS,UNASSIGNED,0.0032
CD3T12S,FTS,TIME DEP 250 OR L * 3-12 MONS,UNASSIGNED,0.0032
CDLES1S,FTS,CD $250 OR L 1 YR OR LESS*TOTAL,UNASSIGNED,0.0032
CDOV3,FTS,TIME DEP GT 250 * OVER 3 YEARS,UNASSIGNED,0.0032
CDOV3S,FTS,TIME DEP 250 OR L * OVER 3 YEARS,UNASSIGNED,0.0032
CECLTE,FTS,CECL TRANSITION ELECTION,UNASSIGNED,0.3418
CERTCONS,FTS,PARENT CERT NUMBER - CONSOLIDATE,UNASSIGNED,0.0
CHBAL,FTS,CASH & DUE FROM DEPOSITORY INST,L,0.0
CHBAL0,FTS,CASH & BAL 0% RW,L,0.0034
CHBAL100,FTS,CASH & BAL - 100% RW,L,0.0034
CHBAL150,FTS,CASH & BAL - 150% RW,L,0.0034
CHBAL20,FTS,CASH & BAL - 20% RW,L,0.0034
CHBAL50,FTS,CASH & BAL - 50% RW,L,0.0034
CHBALDOM,FTS,CASH & DUE FROM DEP INST-DOM,L,0.0
CHBALI,FTS,INTEREST-BEARING CASH & DUE,L,0.0032
CHBALNI,FTS,NONINTEREST-BEARING CASH & DUE,L,0.0032
CHBALNRW,FTS,CASH AND BAL DUE-ADJ TO COL A,L,0.0034
CHBALRCR,FTS,CASH & BAL BS - RC-R COL A,L,0.0034
CINSSB,FTS,TOTAL ASSETS CAPTIVE INS SUB,UNASSIGNED,0.0034
CM1LES,FTS,COMMODITY CONTRAC-1 YEAR OR LESS,UNASSIGNED,0.0034
CM1T5,FTS,COMMODITY CONTRACTS-1 TO 5 YARS,UNASSIGNED,0.0034
CMOVR1,FTS,COMMODITY CONTRACTS-OVER 1 YEAR,UNASSIGNED,0.0034
CMOVR5,FTS,COMMODITY CONTRACTS-OVER 5 YEARS,UNASSIGNED,0.0034
CRAGSM,FTS,AG LOAN RECOVERIES*SMALL BKS,UNASSIGNED,0.0186
CRAUTO,FTS,AUTO LOANS - RECOVERIES,UNASSIGNED,0.0032
CRCI,FTS,COMMERCIAL LOAN RECOVERIES,UNASSIGNED,0.0032
CRCIUS,FTS,U.S. COMMERCIAL LN RECOVERIES,UNASSIGNED,0.0032
CRCOMRE,FTS,COMMERCIAL RE LN RECOVERIES,UNASSIGNED,0.0032
CRCON,FTS,CONSUMER LOAN RECOVERIES,UNASSIGNED,0.0032
CRCONOTH,FTS,OTHER CONSUMER LOAN RECOVERIES,UNASSIGNED,0.0032
CRCRCD,FTS,CREDIT CARD LOAN RECOVERIES,UNASSIGNED,0.0032
CREINSSB,FTS,TOTAL ASSETS CAPTIVE REINS SUB,UNASSIGNED,0.0034
CRLNLS,FTS,TOTAL LN&LS RECOVERIES,UNASSIGNED,0.0032
CRLS,FTS,LEASE RECOVERIES,UNASSIGNED,0.0032
CROTHER,FTS,ALL OTHER LOAN RECOVERIES,UNASSIGNED,0.0032
CRRE,FTS,REAL ESTATE LOAN RECOVERIES,UNASSIGNED,0.0032
CRREAG,FTS,FARMLAND RE LN RECOVERIES,UNASSIGNED,0.0032
CRRECNFM,FTS,1-4 FAM CONSTRUCT LN RECOVERIES,UNASSIGNED,0.0032
CRRECNOT,FTS,OTHER CONSTRUCT LN RECOVERIES,UNASSIGNED,0.0032
CRRECONS,FTS,CONSTRUCTION RE LN RECOVERIES,UNASSIGNED,0.0032
CRRELOC,FTS,LINE OF CREDIT RE LN RECOVERIES,UNASSIGNED,0.0032
CRREMULT,FTS,MULTIFAMILY RES RE LN RECOVERIES,UNASSIGNED,0.0032
CRRENRES,FTS,NONFARM NONRES RE LN RECOVERIES,UNASSIGNED,0.0032
CRRENROT,FTS,OTHER NONFARM NONRES RECOVERIES,UNASSIGNED,0.0032
CRRENROW,FTS,OWN-OCCUP NONFARM NONRES RECOV,UNASSIGNED,0.0032
CRREOT,FTS,RE LOANS-OTHER RECOVERIES,UNASSIGNED,0.0032
CRREOTH,FTS,RESIDENTIAL RE LN RECOVERIES,UNASSIGNED,0.0032
CRRERES,FTS,RE LOANS 1-4 FAMILY RECOVERIES,UNASSIGNED,0.0032
CRRERSF2,FTS,RE LOAN 1-4 FAM JR LIEN-RECOVER,UNASSIGNED,0.0032
CRRERSFM,FTS,RE LOAN 1-4 FAM FIRST LIEN-RECOV,UNASSIGNED,0.0032
CRREUS,FTS,U.S. RE LN RECOVERIES,UNASSIGNED,0.0032
CRSCAFS,FTS,TOTAL DEBT SEC-AFS-RECOVERIES,UNASSIGNED,0.3418
CRSCHTM,FTS,TOTAL DEBT SEC-HTM-RECOVERIES,UNASSIGNED,0.3418
CRTOT,FTS,LOAN AND LEASE LOSS RECOVERIES,UNASSIGNED,0.0032
CT1AFSCU,FTS,RC-R NET UNREAL G/L ON AFS SEC,UNASSIGNED,0.0032
CT1AFSPS,FTS,RC-R NET UNRL G/L ON AFS PSTK,UNASSIGNED,0.4836
CT1AJTOT,FTS,RC-R TOTAL ADJ & DED COM EQ T1,UNASSIGNED,0.0032
CT1AOCI,FTS,RC-R ACC OTH COMPREHENSIVE INC,UNASSIGNED,0.0032
CT1AOCIX,FTS,RC-R ACC OTH COMP INC OPT OUT,UNASSIGNED,0.0032
CT1AODED,FTS,RC-R ALL OTHER DEDUCT CM EQ T1,UNASSIGNED,0.0032
CT1BADJ,FTS,RC-R COM EQUITY T1 BEFORE ADJ,C,0.0032
CT1CFHGL,FTS,RC-R ACCUM G/L CASH FLOW HEDGE,L,0.0034
CT1CFHGO,FTS,RC-R AC G/L C FLW HG AOCI/OP OT,UNASSIGNED,0.0032
CT1CSSP,FTS,RC-R COM STK & SURPLUS NET,UNASSIGNED,0.0032
CT1DBPLN,FTS,RC-R DEF BEN RET PLNS IN AOCI,UNASSIGNED,0.0032
CT1DTA,FTS,RC-R DISALL DEFERRED TAX ASSETS,UNASSIGNED,0.0032
CT1DTA25,FTS,RC-R DTA NOT REAL-NOL CARRYBK,UNASSIGNED,0.4451
CT1GW,FTS,RC-R DISALL GOODWILL NET DTL,UNASSIGNED,0.0032
CT1HTMSU,FTS,RC-R NET UNREAL G/L ON HTM SEC,UNASSIGNED,0.0032
CT1INTAN,FTS,RC-R DISALL INTAN AST NET DTL,UNASSIGNED,0.0032
CT1IT1T2,FTS,RC-R INSUFF T1 & T2 COVER DED,UNASSIGNED,0.0032
CT1LCRGL,FTS,RC-R UNR G/L FV LIAB DUE CR RSK,UNASSIGNED,0.0032
CT1MIN,FTS,RC-R COM EQUITY T1 MIN INT INCL,C,0.0032
CT1MSA25,FTS,RC-R MTG SRVICING ASST 25 PCT NA,UNASSIGNED,0.4451
CT1NFI25,FTS,RC-R SIG INV UNCON FIN INST,UNASSIGNED,0.4451
CT1SUBTL,FTS,RC-R SUBTOTAL LINE 12,UNASSIGNED,0.0032
CTDI1LS,FTS,CR DER INV GRADE - 1YR OR LESS,UNASSIGNED,0.0034
CTDI1T5,FTS,CR DER INV GRADE - 1 TO 5 YR,UNASSIGNED,0.0034
CTDIOV5,FTS,CR DER INV GRADE - OVER 5 YEARS,UNASSIGNED,0.0034
CTDS1LS,FTS,CR DER SUBINV GRADE-1YR OR LESS,UNASSIGNED,0.0034
CTDS1T5,FTS,CR DER SUBINV GRADE - 1 TO 5 YR,UNASSIGNED,0.0034
CTDSOV5,FTS,CR DER SUBINV GRADE-OVER 5 YR,UNASSIGNED,0.0034
DDT,FTS,DDA TRANS-TOTAL,UNASSIGNED,0.0032
DEP,FTS,TOTAL DEPOSITS,L,0.0
DEPALLEX,FTS,TOTAL ALLOWABLE EXCLUSIONS,UNASSIGNED,0.0
DEPBEFEX,FTS,TOTAL DEPOSIT LIAB BEF EXCLUSION,L,0.0
DEPCONS,FTS,CONSUMER DEP PRODUCTS OFFERED,UNASSIGNED,0.0033
DEPDOM,FTS,TOTAL DEPOSITS-DOM,L,0.0
DEPI,FTS,INTEREST-BEARING DEP,UNASSIGNED,0.0032
DEPIDOM,FTS,INTEREST-BEARING DEP-DOM,UNASSIGNED,0.0032
DEPLGA,FTS,LARGE DEPOSIT ACCOUNTS-AMOUNT,L,0.0
DEPLGB,FTS,LARGE DEPOSIT ACCOUNTS-NUMBER,L,0.0
DEPLGRA,FTS,LARGE DEPOSIT RETIREMENT ACC-AMT,L,0.0
DEPLGRN,FTS,LARGE DEPOSIT RETIREMENT ACC-NUM,L,0.0
DEPLSNB,FTS,DEP THRU LIST SVC NOT BROKERED,UNASSIGNED,0.0032
DEPNI,FTS,NONINTEREST-BEARING DEP,UNASSIGNED,0.0032
DEPNIDOM,FTS,NONINTEREST-BEARING DEP-DOM,UNASSIGNED,0.0032
DEPRECP,FTS,RECIPROCAL DEPOSITS - TOTAL,L,0.2885
DEPSMA,FTS,SMALL DEPOSIT ACCOUNTS-AMOUNT,L,0.0
DEPSMB,FTS,SMALL DEPOSIT ACCOUNTS-NUMBER,L,0.0024
DEPSMRA,FTS,SMALL DEPOSIT RETIREMENT ACC-AMT,L,0.0
DEPSMRN,FTS,SMALL DEPOSIT RETIREMENT ACC-NUM,L,0.0024
DEPUNA,FTS,ESTIMATED UNINSURED DEPOSITS,L,0.1772
DIRRCR,FTS,DERIVATIVE CONTRACTS-C.E. AMOUNT,S,0.0034
DRAGSM,FTS,AG LOAN CHARGE-OFFS*SMALL BKS,A,0.0186
DRAUTO,FTS,AUTO LOANS - CHARGE-OFFS,A,0.0032
DRCI,FTS,COMMERCIAL LOAN CHARGE-OFFS,A,0.0032
DRCIUS,FTS,U.S. COMMERCIAL LN CHG-OFFS,UNASSIGNED,0.0032
DRCOMRE,FTS,COMMERCIAL RE LN CHARGE-OFFS,A,0.0032
DRCON,FTS,CONSUMER LOAN CHARGE-OFFS,A,0.0032
DRCONOTH,FTS,OTHER CONSUMER LOAN CHARGE-OFFS,A,0.0032
DRCRCD,FTS,CREDIT CARD LOAN CHARGE-OFFS,A,0.0032
DRLNLS,FTS,TOTAL LN&LS CHARGE-OFFS,A,0.0032
DRLNLSXW,FTS,LN & LS CHG-OFFS EXCL WRITE DOWN,UNASSIGNED,0.0032
DRLNTHFS,FTS,WRITE-DOWN LOAN TRANSFER TO HFS,UNASSIGNED,0.0032
DRLS,FTS,LEASE CHARGE-OFFS,A,0.0032
DROTHER,FTS,ALL OTHER LOAN CHARGE-OFFS,A,0.0032
DRRE,FTS,REAL ESTATE LOAN CHARGE-OFFS,A,0.0032
DRREAG,FTS,FARMLAND RE LN CHARGE-OFFS,A,0.0032
DRRECNFM,FTS,1-4 FAM CONSTRUCT LN CHARGE-OFFS,A,0.0032
DRRECNOT,FTS,OTHER CONSTRUCT LN CHARGE-OFFS,A,0.0032
DRRECONS,FTS,CONSTRUCTION RE LN CHARGE-OFFS,A,0.0032
DRRELOC,FTS,LINE OF CREDIT RE LN CHARGE-OFFS,A,0.0032
DRREMULT,FTS,MULTIFAMILY RES RE LN CHARGE-OFF,A,0.0032
DRRENRES,FTS,NONFARM NONRES RE LN CHARGE-OFFS,A,0.0032
DRRENROT,FTS,OTHER NONFARM NONRES RE CHG-OFF,UNASSIGNED,0.0032
DRRENROW,FTS,OWN-OCCUP NONFARM NONRES CHG-OFF,UNASSIGNED,0.0032
DRREOT,FTS,RE LOANS-OTHER CHARGE-OFFS,A,0.0032
DRREOTH,FTS,RESIDENTIAL RE LN CHARGE-OFFS,A,0.0032
DRRERES,FTS,RE LOANS 1-4 FAMILY CHARGE-OFFS,A,0.0032
DRRERSF2,FTS,RE LN 1-4 FAM JR LIEN-CHG-OFF,UNASSIGNED,0.0032
DRRERSFM,FTS,RE LN 1-4 FAM FIRST LIEN-CHG-OFF,UNASSIGNED,0.0032
DRREUS,FTS,U.S. RE LN CHARGE-OFFS,A,0.0032
DRSCAFS,FTS,TOTAL DBT SEC-AFS-CHG-OFF,UNASSIGNED,0.3418
DRSCAFST,FTS,DBT SEC-AFS-TRANSFER-WRITE DN,UNASSIGNED,0.3418
DRSCAFSX,FTS,DBT SEC-AFS-CHG-OFF-EX WRITE DN,UNASSIGNED,0.3418
DRSCHTM,FTS,TOTAL DBT SEC-HTM-CHG-OFF,UNASSIGNED,0.3418
DRSCHTMT,FTS,DBT SEC-HTM-TRANSFER-WRITE DN,UNASSIGNED,0.3418
DRSCHTMX,FTS,SECURITIES-HA-NET ALLOW,S,0.3418
DRTOT,FTS,LOAN AND LEASE LOSS CHARGE-OFFS,A,0.0032
EAMINTAN,FTS,AMORT & IMPAIR LOSS AST,UNASSIGNED,0.0032
ECD100,FTS,"INT EXPENSE TIME CD GT $250,000",M,0.0032
ED1LES,FTS,EQUITY DERIVATIVE-1 YEAR OR LESS,C,0.0034
ED1T5,FTS,EQUITY DERIVATIVE-1 TO 5 YEARS,C,0.0034
EDEP,FTS,DEPOSIT INTEREST EXPENSE,M,0.0032
EDEPDOM,FTS,DEPOSIT INTEREST EXPENSE-DOM,M,0.0032
EDOVR1,FTS,EQUITY DERIVATIVE-OVER 1 YEAR,C,0.0034
EDOVR5,FTS,EQUITY DERIVATIVE-OVER 5 YEARS,C,0.0034
EFREPP,FTS,FED FUNDS & REPOS INT EXPENSE,M,0.0032
EINTEXP,FTS,TOTAL INTEREST EXPENSE,M,0.0032
EINTGW,FTS,GOODWILL IMPAIRMENT LOSSES,UNASSIGNED,0.0032
EINTOTH,FTS,AMORT & IMPAIR LOSSES OTH INTAN,UNASSIGNED,0.0032
ELNATR,FTS,PROVISIONS FOR CREDIT LOSSES,A,0.0032
ELNLOS,FTS,PROVISION FOR CREDIT LOSSES,A,0.0032
ENONTRAN,FTS,NONTRANSACTION ACCOUNTS INT EXP,UNASSIGNED,0.0032
EOFA,FTS,PROV CR LOSS-OTHER FIN ASSETS,UNASSIGNED,0.3418
EOTHINT,FTS,OTHER INTEREST EXPENSE,M,0.0032
EOTHNINT,FTS,ALL OTHER NONINTEREST EXPENSE,M,0.0032
EOTHTIME,FTS,"INT EXPENSE TIME CD LE $250,000",M,0.0032
EPREMAGG,FTS,PREMISES & FIXED ASSETS EXPENSE,M,0.0032
EQ,FTS,TOTAL BANK EQUITY CAPITAL,C,0.0032
EQAG,FTS,TOTAL BANK EQ CAP-AG LOSS ADJ,UNASSIGNED,0.0185
EQCBHCTR,FTS,TRANSACTIONS WITH BHC,UNASSIGNED,0.0032
EQCCOMPI,FTS,OTHER COMPREHENSIVE INCOME,E,0.0032
EQCDIV,FTS,CASH DIVIDENDS ON COMM & PREF,L,0.0032
EQCDIVC,FTS,CASH DIVIDENDS ON COMM STOCK,L,0.0032
EQCDIVP,FTS,CASH DIVIDENDS ON PREF STOCK,L,0.0032
EQCMRG,FTS,CHANGES DUE TO MERGERS,UNASSIGNED,0.0032
EQCOMINC,FTS,ACCUM OTHER COMPREHENSIVE INCOME,E,0.0032
EQCONSUB,FTS,MINOR INT IN CONSOL SUBS-EQ,UNASSIGNED,0.0032
EQCPREV,FTS,BK EQ CAP MOST RECENTLY REPORTED,UNASSIGNED,0.0032
EQCPRYRR,FTS,EQUITY CAP PREV YR RESTATED,C,0.0032
EQCREST,FTS,ACCOUNTING CHANGES & CORRECTIONS,UNASSIGNED,0.0032
EQCS,FTS,COMMON STOCK,UNASSIGNED,0.0032
EQCSTKRX,FTS,SALE OF CAPITAL STOCK,C,0.0032
EQCSTKX,FTS,SALE OF CAPITAL STOCK,C,0.0032
EQCTRSTX,FTS,TREASURY STOCK TRANSACTIONS,UNASSIGNED,0.0032
EQOTHCC,FTS,OTHER EQUITY CAPITAL COMPONENTS,C,0.0032
EQPP,FTS,PERPETUAL PREFERRED STOCK,UNASSIGNED,0.0032
EQSUR,FTS,SURPLUS,UNASSIGNED,0.0032
EQTOT,FTS,TOTAL EQUITY CAPITAL,C,0.0032
EQUP,FTS,"UNDIVIDED PROFITS, NET",E,0.0032
EQUPGR,FTS,"UNDIVIDED PROFITS, GROSS",E,0.0032
EQUPTOT,FTS,UP-NET & OTHER CAPITAL COMP,C,0.0032
EQZ,FTS,TOTAL EQUITY CAPITAL-DERIVED,C,0.0032
ESAL,FTS,SALARIES AND EMPLOYEE BENEFITS,M,0.0032
ESAVDP,FTS,NONTRANSACTION SAV ACCTS INT EXP,UNASSIGNED,0.0032
ESCAFS,FTS,PROV CR LOSS-DEBT SEC-AFS,UNASSIGNED,0.3418
ESCHTM,FTS,PROV CR LOSS-DEBT SEC-HTM,UNASSIGNED,0.3418
ETRANDEP,FTS,TRANSACTION ACCOUNTS INT EXPENSE,M,0.0032
EXTRA,FTS,NET DISCONTINUED OPERATIONS,UNASSIGNED,0.0032
FFPUR,FTS,FEDERAL FUNDS PURCHASED,UNASSIGNED,0.0
FFSLD0,FTS,FF SOLD - 0% RW,UNASSIGNED,0.0034
FFSLD100,FTS,FF SOLD - 100% RW,UNASSIGNED,0.0034
FFSLD150,FTS,FF SOLD - 150% RW,UNASSIGNED,0.0034
FFSLD20,FTS,FF SOLD - 20% RW,UNASSIGNED,0.0034
FFSLD50,FTS,FF SOLD - 50% RW,UNASSIGNED,0.0034
FFSLDRCR,FTS,FF SOLD - RC-R COL A,UNASSIGNED,0.0034
FFSOLD,FTS,FEDERAL FUNDS SOLD,UNASSIGNED,0.0
FGN,FTS,HISTORICAL FRBH FOREIGN FLAG,S,0.0
FISCALYR,FTS,FISCAL YEAR-END DATE,UNASSIGNED,0.0273
FORM31,FTS,031 CALL REPORT FLAG,UNASSIGNED,0.0
FREPO,FTS,FED FUNDS & REPOS SOLD,UNASSIGNED,0.0
FREPODOM,FTS,FED FUNDS & REPOS SOLD-DOM,UNASSIGNED,0.0
FREPP,FTS,FED FUNDS & REPOS PURCHASED,UNASSIGNED,0.0
FREPPDOM,FTS,FED FUNDS & REPOS PURCHASED-DOM,UNASSIGNED,0.0
IBEFTAX,FTS,INCOME BEFORE INC TAXES & DISC,E,0.0032
IBEFUGL,FTS,"INC BEF UN G/L EQ SEC, TX & DIS",UNASSIGNED,0.2339
IBEFXTR,FTS,INCOME BEFORE DISC OPR,E,0.0032
ICHBAL,FTS,DEPOSITORY INSTITUTIONS INT INC,L,0.0032
IFIDUC,FTS,FIDUCIARY ACTIVITIES INCOME,E,0.0032
IFREPO,FTS,FED FUNDS & REPO INTEREST INCOME,E,0.0032
IGLASFV,FTS,NET G/L ASSET AT FAIR VALUE,UNASSIGNED,0.0034
IGLLIFV,FTS,NET G/L LIABILITY AT FAIR VALUE,UNASSIGNED,0.0034
IGLSCA,FTS,AVAILABLE-FOR-SALE SECS G/L,UNASSIGNED,0.0032
IGLSCEQ,FTS,UNREAL G/L EQ SEC,UNASSIGNED,0.2339
IGLSCH,FTS,HELD-TO-MATURITY SECS G/L,UNASSIGNED,0.0032
IGLSEC,FTS,SECURITIES GAINS AND LOSSES,S,0.0032
IINSCOM,FTS,INSURANCE COMMISSIONS & FEES,UNASSIGNED,0.0032
IINVFEE,FTS,"INVEST BANK, BROKER & OTHER FEE",UNASSIGNED,0.0032
ILN,FTS,LOAN INCOME,E,0.0032
ILNAG,FTS,AGRICULTURAL LOAN INCOME,E,0.0033
ILNCI,FTS,COMMERCIAL LOAN INCOME,E,0.0032
ILNCON,FTS,CONSUMER LOAN INCOME,E,0.0032
ILNCONOT,FTS,OTHER CONSUMER LOAN INCOME,E,0.0032
ILNCRCD,FTS,CREDIT CARD LOAN INCOME,E,0.0032
ILNDOM,FTS,LOAN INCOME-DOM,E,0.0032
ILNLS,FTS,LOAN & LEASE INCOME,E,0.0032
ILNLSX,FTS,TAX-EXEMPT LN AND LEASE INT INC,UNASSIGNED,0.0032
ILNOTH,FTS,ALL OTHER LOAN INCOME,E,0.0032
ILNOTHER,FTS,ALL OTHER LOAN INCOME,E,0.0032
ILNRE,FTS,REAL ESTATE LOAN INCOME,E,0.0032
ILNREFNG,FTS,NONCASH INC 1-4 FAM NEG AMORT,L,0.2238
ILNREOTH,FTS,OTHER REAL ESTATE LOAN INCOME,E,0.0032
ILNRERES,FTS,1-4 FM RE LOAN INCOME,E,0.0032
ILS,FTS,LEASE INCOME,E,0.0032
INSTAG,FTS,AGRICULTURAL INSTITUTION FLAG,UNASSIGNED,0.0
INSTCRCD,FTS,CREDIT CARD INSTITUTION FLAG,UNASSIGNED,0.0
INSTPAR,FTS,PARENT INSTITUTION FLAG,UNASSIGNED,0.0
INSTSUB,FTS,SUBSIDIARY INSTITUTION FLAG,UNASSIGNED,0.0
INTAN,FTS,INTANGIBLE ASSETS,C,0.0032
INTANGW,FTS,GOODWILL,UNASSIGNED,0.0032
INTANMSR,FTS,MORTGAGE SERVICING ASSETS,UNASSIGNED,0.0032
INTANOTH,FTS,OTHER IDENTIFIABLE INTANG ASSETS,UNASSIGNED,0.0032
INTANTO,FTS,INTANGIBLE ASSETS EX GOODWILL,C,0.0032
INTANZ,FTS,INTANGIBLE ASSETS-DERIVED,C,0.0032
INTINC,FTS,TOTAL INTEREST INCOME,E,0.0032
INTMSRFV,FTS,FAIR VALUE-MTG SERVICING ASSETS,UNASSIGNED,0.0032
INVSUB,FTS,INVEST IN UNCONSOLIDATED SUBS,UNASSIGNED,0.0032
INVSUORE,FTS,INVESTMENTS IN RE,UNASSIGNED,0.0032
IOTHII,FTS,OTHER INTEREST INCOME,E,0.0032
IOTNII,FTS,OTHER NONINTEREST INCOME,E,0.0032
IRAKEOGH,FTS,IRAS AND KEOGH PLANS-DEPOSITS,L,0.0033
ISC,FTS,TOTAL SECURITY INCOME,E,0.0032
ISCGCATM,FTS,CONSMR DEP ATM SER CHGE,UNASSIGNED,0.1804
ISCHGCMN,FTS,CONSMER DEP MAINTNCE SER CHGE,UNASSIGNED,0.1804
ISCHGCOV,FTS,CONSMER DEP OVDRFT SER CHGE,UNASSIGNED,0.1804
ISCHGOTH,FTS,ALL OTH SER CHRG - DEP,UNASSIGNED,0.1804
ISCMTGBK,FTS,MORTGAGE-BACKED SEC. INT. INCOME,E,0.0032
ISCMUNIX,FTS,TAX-EXEMPT MUNICIPAL SEC INCOME,E,0.0032
ISCOTH,FTS,ALL OTHER SECURITIES-INT.INC.,S,0.0032
ISCOTTIE,FTS,OTH TEMP IMP LOSS SEC- EARNINGS,E,0.1786
ISCUSTAG,FTS,U.S. TREASURY & AGENCY INT INC,UNASSIGNED,0.0032
ISERCHG,FTS,SERVICE CHARGE ON DEPOSIT ACCTS,L,0.0032
ISERFEE,FTS,SERVICING FEES,UNASSIGNED,0.0032
ITAX,FTS,APPLICABLE INCOME TAXES,E,0.0032
LATOTFV,FTS,AGG AMT OF FV OPTION LIABILITIES,UNASSIGNED,0.3747
LBS,FTS,FRBH LARGE BANK SUPPLEMENT FLAG,UNASSIGNED,0.0
LIAB,FTS,TOTAL LIABILITIES,UNASSIGNED,0.0
LIABDOM,FTS,TOTAL LIABILITIES-DOM,UNASSIGNED,0.0
LIABEQ,FTS,TOTAL LIABILITIES & CAPITAL,C,0.0
LNAG,FTS,AGRICULTURAL LOANS,UNASSIGNED,0.0032
LNAG1A,FTS,AGRICULTURAL LOANS-UNDER 100-$,UNASSIGNED,0.0025
LNAG1B,FTS,AGRICULTURAL LOANS-UNDER 100-NUM,UNASSIGNED,0.0025
LNAG1S,FTS,AGRICULTURAL LOANS-UNDER 100-NUM,UNASSIGNED,0.0138
LNAG2A,FTS,AGRICULTURAL LOANS-100-250-$,UNASSIGNED,0.0025
LNAG2B,FTS,AGRICULTURAL LOANS-100-250-NUM,UNASSIGNED,0.0025
LNAG3A,FTS,AGRICULTURAL LOANS-250-500-$,UNASSIGNED,0.0025
LNAG3B,FTS,AGRICULTURAL LOANS-250-500-NUM,UNASSIGNED,0.0025
LNAGDOM,FTS,AGRICULTURAL LOANS-DOM,UNASSIGNED,0.0032
LNATRCR,FTS,ALLOW FOR CREDIT LOSSES & TRANSFER RISK,UNASSIGNED,0.0032
LNATRES,FTS,ALLOW FOR CREDIT LOSSES ON LOANS + ALLOC TRN RISK,UNASSIGNED,0.0032
LNAUTO,FTS,CONSUMER LOANS - AUTO,UNASSIGNED,0.0032
LNAUTOD,FTS,CONSUMER LOANS - AUTO - DOM,UNASSIGNED,0.0032
LNBCFV,FTS,LNS ACQ IN BUS COMB - FV,UNASSIGNED,0.0034
LNBCNC,FTS,LNS ACQ IN BUS COMB-NOT COLL,UNASSIGNED,0.0034
LNBCRC,FTS,LNS ACQ IN BUS COMB - RECEIVE,UNASSIGNED,0.0034
LNCHAC,FTS,CML LN HLD FOR INV AC,UNASSIGNED,0.3774
LNCHALL,FTS,CML LN HLD FOR INV ALLOW,UNASSIGNED,0.3774
LNCI,FTS,C&I LOANS,UNASSIGNED,0.0
LNCI1A,FTS,C&I LOANS-UNDER 100-$,UNASSIGNED,0.0025
LNCI1B,FTS,C&I LOANS-UNDER 100-NUM,UNASSIGNED,0.0025
LNCI1S,FTS,C&I LOANS-UNDER 100-NUM,UNASSIGNED,0.013
LNCI2A,FTS,C&I LOANS-100-250-$,UNASSIGNED,0.0025
LNCI2B,FTS,C&I LOANS-100-250-NUM,UNASSIGNED,0.0025
LNCI3A,FTS,C&I LOANS-250-1M-$,UNASSIGNED,0.0025
LNCI3B,FTS,C&I LOANS-250-1M-NUM,UNASSIGNED,0.0025
LNCIDOM,FTS,C&I LOANS-DOM,UNASSIGNED,0.0
LNCIUSD,FTS,C&I LOANS-U.S. DOMICILE,UNASSIGNED,0.0
LNCIUSDD,FTS,C&I LOANS-U.S. DOMICILE-DOM,UNASSIGNED,0.0
LNCNHAC,FTS,CONST LN HLD FOR INV AC,UNASSIGNED,0.3774
LNCNHALL,FTS,CONST LN HLD FOR INV ALLOW,UNASSIGNED,0.3774
LNCOMRE,FTS,COMMERCIAL RE LOANS,UNASSIGNED,0.0032
LNCON,FTS,CONSUMER LOANS,UNASSIGNED,0.0032
LNCONDOM,FTS,CONSUMER LOANS-DOM,UNASSIGNED,0.0032
LNCONHAC,FTS,CONS LN HLD FOR INV AC,UNASSIGNED,0.3774
LNCONHAL,FTS,CONS LN HLD FOR INV ALLOW,UNASSIGNED,0.3774
LNCONORP,FTS,OTHER CONSUMER & RELATED PLANS,UNASSIGNED,0.0032
LNCONOTD,FTS,CONSUMER LNS-OTHER-DOM,UNASSIGNED,0.0032
